챕터,스테이지,명중 요구치,집중 요구치
4,4-6,131,111
4,4-7,131,111
4,4-8,131,111
4,4-9,131,111
4,4-10,131.3,111.3
4,4-11,131.6,111.6
4,4-12,132,112
4,4-13,132,112
4,4-14,132,112
4,4-15,132,112
4,4-16,132,112
4,4-17,132,112
4,4-18,132,112
4,4-19,132.1,112.1
4,4-20,132.6,112.6
4,4-21,132.9,112.9
4,4-22,133,113
4,4-23,133,113
4,4-24,133,113
4,4-25,133,113
4,4-26,133,113
4,4-27,133,113
4,4-28,133.5,113.5
4,4-29,133.8,113.8
4,4-30,134,114
5,5-1,134,114
5,5-2,134,114
5,5-3,134.1,114.1
5,5-4,134.6,114.6
5,5-5,135,115
5,5-6,135,115
5,5-7,135,115
5,5-8,135.1,115.1
5,5-9,136,115.5
5,5-10,136.9,116
5,5-11,137,116
5,5-12,137,116
5,5-13,137,116
5,5-14,137.1,116.1
5,5-15,137.6,116.6
5,5-16,138,117
5,5-17,138,117
5,5-18,138,117
5,5-19,138,117
5,5-20,138,117
5,5-21,138.3,117.3
5,5-22,138.8,117.8
5,5-23,139,118
5,5-24,139,118
5,5-25,139,118
5,5-26,139,118
5,5-27,139.1,118.1
5,5-28,139.5,118.5
5,5-29,139.9,118.9
5,5-30,140,119
6,6-1,140,119
6,6-2,140,119
6,6-3,140.1,119.1
6,6-4,140.6,119.6
6,6-5,141,120
6,6-6,141,120
6,6-7,141,120
6,6-8,141,120
6,6-9,141,120
6,6-10,141.3,120.3
6,6-11,141.8,120.8
6,6-12,142,121
6,6-13,142,121
6,6-14,142,121
6,6-15,142,121
6,6-16,142,121
6,6-17,142,121
6,6-18,142,121
6,6-19,142,121
6,6-20,142,121
6,6-21,142.4,121.1
6,6-22,143.5,121.5
6,6-23,144.7,121.9
6,6-24,145,122
6,6-25,145,122
6,6-26,145,122
6,6-27,145,122
6,6-28,145,122
6,6-29,145,122
6,6-30,145,122
7,7-1,145.1,122.1
7,7-2,145.3,122.3
7,7-3,145.8,122.8
7,7-4,146,123
7,7-5,146,123
7,7-6,146,123
7,7-7,146,123
7,7-8,146,123
7,7-9,146,123
7,7-10,146,123
7,7-11,146,123
7,7-12,146,123
7,7-13,146.1,123.1
7,7-14,146.3,123.3
7,7-15,146.7,123.7
7,7-16,147,124
7,7-17,147,124
7,7-18,147,124
7,7-19,147,124
7,7-20,147,124
7,7-21,147,124
7,7-22,147,124
7,7-23,147,124
7,7-24,147,124
7,7-25,147,124
7,7-26,147.2,124.2
7,7-27,147.7,124.7
7,7-28,148,125
7,7-29,148,125
7,7-30,148,125
8,8-1,148,125
8,8-2,148,125
8,8-3,148,125
8,8-4,148,125
8,8-5,148,125
8,8-6,148.1,125.1
8,8-7,148.5,125.5
8,8-8,148.9,125.9
8,8-9,149,126
8,8-10,149,126
8,8-11,149,126
8,8-12,149,126
8,8-13,149,126
8,8-14,149,126
8,8-15,149,126
8,8-16,149,126
8,8-17,149.5,126.5
8,8-18,150,127
8,8-19,150,127
8,8-20,150,127
8,8-21,150,127
8,8-22,150,127
8,8-23,150,127
8,8-24,150.2,127.2
8,8-25,151,128
8,8-26,151,128
8,8-27,151,128
8,8-28,151,128
8,8-29,151,128
8,8-30,151,128
9,9-1,151.8,128.8
9,9-2,152,129
9,9-3,152,129
9,9-4,152,129
9,9-5,152,129
9,9-6,152,129
9,9-7,152,129
9,9-8,152.6,129.6
9,9-9,153,130
9,9-10,153,130
9,9-11,153,130
9,9-12,153,130
9,9-13,153,130
9,9-14,153,130
9,9-15,153.4,130.4
9,9-16,153.9,130.9
9,9-17,154,131
9,9-18,154,131
9,9-19,154,131
9,9-20,154,131
9,9-21,154.2,131.2
9,9-22,154.8,131.8
9,9-23,155,132
9,9-24,155,132
9,9-25,155,132
9,9-26,155,132
9,9-27,155,132
9,9-28,155.2,132.2
9,9-29,155.7,132.7
9,9-30,156,133
10,10-1,156,133
10,10-2,156,133
10,10-3,156,133
10,10-4,156,133
10,10-5,156,133
10,10-6,157.1,133.5
10,10-7,157.9,134
10,10-8,158,134
10,10-9,158,134
10,10-10,158,134
10,10-11,158,134
10,10-12,158.4,134.4
10,10-13,158.9,134.9
10,10-14,159,135
10,10-15,159,135
10,10-16,159,135
10,10-17,159,135
10,10-18,159,135
10,10-19,159.4,135.1
10,10-20,160.8,135.9
10,10-21,161,136
10,10-22,161,136
10,10-23,161,136
10,10-24,161,136
10,10-25,161,136
10,10-26,161,136
10,10-27,161.7,136.7
10,10-28,162,137
10,10-29,162,137
10,10-30,162,137
11,11-1,162,137
11,11-2,162,137
11,11-3,162,137
11,11-4,162.4,137.4
11,11-5,162.9,137.9
11,11-6,163,138
11,11-7,163,138
11,11-8,163,138
11,11-9,163,138
11,11-10,163,138
11,11-11,163,138
11,11-12,163,138
11,11-13,163.1,138.1
11,11-14,163.5,138.5
11,11-15,164,139
11,11-16,164,139
11,11-17,164,139
11,11-18,164,139
11,11-19,164,139
11,11-20,164,139
11,11-21,164,139
11,11-22,164,139
11,11-23,164.2,139.1
11,11-24,165.2,139.6
11,11-25,165.9,140
11,11-26,166,140
11,11-27,166,140
11,11-28,166,140
11,11-29,166,140
11,11-30,166,140
12,12-1,166,140
12,12-2,166.4,140.4
12,12-3,166.9,140.9
12,12-4,167,141
12,12-5,167,141
12,12-6,167,141
12,12-7,167,141
12,12-8,167,141
12,12-9,167,141
12,12-10,167,141
12,12-11,167,141
12,12-12,167,141
12,12-13,167,141
12,12-14,167,141
12,12-15,167,141
12,12-16,167,141
12,12-17,167,141
12,12-18,167,141
12,12-19,167,141
12,12-20,167,141
12,12-21,167,141
12,12-22,167,141
12,12-23,167,141
12,12-24,167,141
12,12-25,167,141
12,12-26,167,141
12,12-27,167,141
12,12-28,167,141
12,12-29,167,141
12,12-30,167,141
13,13-1,167,141
13,13-2,167,141
13,13-3,167,141
13,13-4,167,141
13,13-5,167,141
13,13-6,167,141
13,13-7,167,141
13,13-8,167,141
13,13-9,167,141
13,13-10,167,141
13,13-11,167.1,141.1
13,13-12,167.2,141.2
13,13-13,167.3,141.3
13,13-14,167.4,141.4
13,13-15,167.5,141.5
13,13-16,167.6,141.6
13,13-17,167.6,141.6
13,13-18,167.7,141.7
13,13-19,167.8,141.8
13,13-20,168,142
13,13-21,168,142
13,13-22,168,142
13,13-23,168,142
13,13-24,168,142
13,13-25,168,142
13,13-26,168,142
13,13-27,168,142
13,13-28,168,142
13,13-29,168,142
13,13-30,168,142
14,14-1,168,142
14,14-2,168,142
14,14-3,168,142
14,14-4,168,142
14,14-5,168,142
14,14-6,168,142
14,14-7,168,142
14,14-8,168,142
14,14-9,168,142
14,14-10,168,142
14,14-11,168,142
14,14-12,168,142
14,14-13,168,142
14,14-14,168,142
14,14-15,168,142
14,14-16,168,142
14,14-17,168,142
14,14-18,168,142
14,14-19,168,142
14,14-20,168,142
14,14-21,168,142
14,14-22,168,142
14,14-23,168,142
14,14-24,168,142
14,14-25,168,142
14,14-26,168,142
14,14-27,168,142
14,14-28,168,142
14,14-29,168,142
14,14-30,168,142
15,15-1,168,142
15,15-2,168,142
15,15-3,168,142
15,15-4,168,142
15,15-5,168,142
15,15-6,168,142
15,15-7,168,142
15,15-8,168,142
15,15-9,168,142
15,15-10,168,142
15,15-11,168,142
15,15-12,168,142
15,15-13,168,142
15,15-14,168,142
15,15-15,168,142
15,15-16,168,142
15,15-17,168,142
15,15-18,168,142
15,15-19,168,142
15,15-20,168,142
15,15-21,168,142
15,15-22,168,142
15,15-23,168.1,142.1
15,15-24,168.3,142.3
15,15-25,168.4,142.4
15,15-26,168.5,142.5
15,15-27,168.6,142.6
15,15-28,168.6,142.6
15,15-29,168.7,142.7
15,15-30,168.8,142.8
16,16-1,168.9,142.9
16,16-2,169,143
16,16-3,169,143
16,16-4,169,143
16,16-5,169,143
16,16-6,169,143
16,16-7,169,143
16,16-8,169,143
16,16-9,169,143
16,16-10,169,143
16,16-11,169,143
16,16-12,169,143
16,16-13,169,143
16,16-14,169,143
16,16-15,169,143
16,16-16,169,143
16,16-17,169,143
16,16-18,169,143
16,16-19,169,143
16,16-20,169,143
16,16-21,169,143
16,16-22,169,143
16,16-23,169,143
16,16-24,169,143
16,16-25,169,143
16,16-26,169,143
16,16-27,169,143
16,16-28,169,143
16,16-29,169,143
16,16-30,169.1,143.1
17,17-1,169.7,143.7
17,17-2,170,144
17,17-3,170,144
17,17-4,170,144
17,17-5,170,144
17,17-6,170,144
17,17-7,170,144
17,17-8,170,144
17,17-9,170.1,144.1
17,17-10,170.5,144.5
17,17-11,171,145
17,17-12,171,145
17,17-13,171,145
17,17-14,171,145
17,17-15,171,145
17,17-16,171,145
17,17-17,171,145
17,17-18,171.1,145.1
17,17-19,171.5,145.5
17,17-20,172,146
17,17-21,172,146
17,17-22,172,146
17,17-23,172,146
17,17-24,172,146
17,17-25,172,146
17,17-26,172.6,146.6
17,17-27,173,147
17,17-28,173,147
17,17-29,173,147
17,17-30,173,147
18,18-1,173,147
18,18-2,173,147
18,18-3,173,147
18,18-4,173.7,147.7
18,18-5,174,148
18,18-6,174,148
18,18-7,174,148
18,18-8,174,148
18,18-9,174,148
18,18-10,174,148
18,18-11,174,148
18,18-12,174.8,148.8
18,18-13,175,149
18,18-14,175,149
18,18-15,175,149
18,18-16,175,149
18,18-17,175,149
18,18-18,175.3,149.1
18,18-19,177,150
18,18-20,177,150
18,18-21,177,150
18,18-22,177,150
18,18-23,177,150
18,18-24,177,150
18,18-25,177,150
18,18-26,177.5,150.3
18,18-27,179,151
18,18-28,179,151
18,18-29,179,151
18,18-30,179,151
19,19-1,179,151
19,19-2,179,151
19,19-3,179,151
19,19-4,179.4,151.4
19,19-5,180,152
19,19-6,180,152
19,19-7,180,152
19,19-8,180,152
19,19-9,180,152
19,19-10,180,152
19,19-11,180.6,152.6
19,19-12,181,153
19,19-13,181,153
19,19-14,181,153
19,19-15,181,153
19,19-16,181,153
19,19-17,181,153
19,19-18,181,153
19,19-19,181.7,153.7
19,19-20,182,154
19,19-21,182,154
19,19-22,182,154
19,19-23,182,154
19,19-24,182,154
19,19-25,182,154
19,19-26,182,154
19,19-27,182.8,154.8
19,19-28,183,155
19,19-29,183,155
19,19-30,183,155
20,20-1,183,155
20,20-2,183,155
20,20-3,183.1,155.1
20,20-4,184,156
20,20-5,184,156
20,20-6,184,156
20,20-7,184,156
20,20-8,184,156
20,20-9,184,156
20,20-10,184,156
20,20-11,184.3,156.3
20,20-12,185,157
20,20-13,185,157
20,20-14,185,157
20,20-15,185,157
20,20-16,185,157
20,20-17,185,157
20,20-18,185,157
20,20-19,185.4,157.4
20,20-20,186,158
20,20-21,186,158
20,20-22,186,158
20,20-23,186,158
20,20-24,186,158
20,20-25,186,158
20,20-26,187.2,158.6
20,20-27,188,159
20,20-28,188,159
20,20-29,188,159
20,20-30,188,159
21,21-1,188,159
21,21-2,188,159
21,21-3,188.3,159.3
21,21-4,189,160
21,21-5,189,160
21,21-6,189,160
21,21-7,189,160
21,21-8,189,160
21,21-9,189,160
21,21-10,189.6,160.6
21,21-11,190,161
21,21-12,190,161
21,21-13,190,161
21,21-14,190,161
21,21-15,190,161
21,21-16,190.8,161.8
21,21-17,191,162
21,21-18,191,162
21,21-19,191,162
21,21-20,191,162
21,21-21,191,162
21,21-22,191,162
21,21-23,192,163
21,21-24,192,163
21,21-25,192,163
21,21-26,192,163
21,21-27,192,163
21,21-28,192,163
21,21-29,192.3,163.3
21,21-30,193,164
22,22-1,193,164
22,22-2,193,164
22,22-3,193,164
22,22-4,193,164
22,22-5,194.1,164.6
22,22-6,195,165
22,22-7,195,165
22,22-8,195,165
22,22-9,195,165
22,22-10,195,165
22,22-11,195,165
22,22-12,195.8,165.8
22,22-13,196,166
22,22-14,196,166
22,22-15,196,166
22,22-16,196,166
22,22-17,196,166
22,22-18,196.1,166.1
22,22-19,197,167
22,22-20,197,167
22,22-21,197,167
22,22-22,197,167
22,22-23,197,167
22,22-24,197.3,167.3
22,22-25,198,168
22,22-26,198,168
22,22-27,198,168
22,22-28,198,168
22,22-29,198,168
22,22-30,198,168
23,23-1,199.2,168.6
23,23-2,200,169
23,23-3,200,169
23,23-4,200,169
23,23-5,200,169
23,23-6,200,169
23,23-7,200,169
23,23-8,200.9,169.9
23,23-9,201,170
23,23-10,201,170
23,23-11,201,170
23,23-12,201,170
23,23-13,201.1,170.1
23,23-14,202,171
23,23-15,202,171
23,23-16,202,171
23,23-17,202,171
23,23-18,202,171
23,23-19,202,171
23,23-20,202.4,171.4
23,23-21,203,172
23,23-22,203,172
23,23-23,203,172
23,23-24,203,172
23,23-25,203,172
23,23-26,203,172
23,23-27,203.6,172.6
23,23-28,204,173
23,23-29,204,173
23,23-30,204,173
24,24-1,204,173
24,24-2,204,173
24,24-3,204.9,173.9
24,24-4,205,174
24,24-5,205,174
24,24-6,205,174
24,24-7,205,174
24,24-8,205,174
24,24-9,205.1,174.1
24,24-10,206,175
24,24-11,206,175
24,24-12,206,175
24,24-13,206,175
24,24-14,206,175
24,24-15,206,175
24,24-16,206,175
24,24-17,206,175
24,24-18,206,175
24,24-19,206,175
24,24-20,206,175
24,24-21,206.3,175.3
24,24-22,206.8,175.8
24,24-23,207,176
24,24-24,207,176
24,24-25,207,176
24,24-26,207,176
24,24-27,207,176
24,24-28,207,176
24,24-29,207,176
24,24-30,207,176
25,25-1,207,176
25,25-2,207.4,176.4
25,25-3,207.9,176.9
25,25-4,208,177
25,25-5,208,177
25,25-6,208,177
25,25-7,208,177
25,25-8,208,177
25,25-9,208,177
25,25-10,208,177
25,25-11,208,177
25,25-12,208,177
25,25-13,208,177
25,25-14,208.1,177
25,25-15,209.2,177.6
25,25-16,210,178
25,25-17,210,178
25,25-18,210,178
25,25-19,210,178
25,25-20,210,178
25,25-21,210,178
25,25-22,210,178
25,25-23,210,178
25,25-24,210,178
25,25-25,210,178
25,25-26,210,178
25,25-27,210.5,178.3
25,25-28,211.6,178.8
25,25-29,212,179
25,25-30,212,179
26,26-1,212,179
26,26-2,212,179
26,26-3,212,179
26,26-4,213,180
26,26-5,213,180
26,26-6,213,180
26,26-7,213,180
26,26-8,213,180
26,26-9,213.6,180.6
26,26-10,214,181
26,26-11,214,181
26,26-12,214,181
26,26-13,214,181
26,26-14,214.1,181.1
26,26-15,215,182
26,26-16,215,182
26,26-17,215,182
26,26-18,215,182
26,26-19,215.6,182.6
26,26-20,216,183
26,26-21,216,183
26,26-22,216,183
26,26-23,216,183
26,26-24,216.2,183.2
26,26-25,217,184
26,26-26,217,184
26,26-27,217,184
26,26-28,217,184
26,26-29,217,184
26,26-30,218,185
27,27-1,218,185
27,27-2,218,185
27,27-3,218,185
27,27-4,218.2,185.2
27,27-5,219,186
27,27-6,219,186
27,27-7,219,186
27,27-8,219,186
27,27-9,219,186
27,27-10,220.9,187
27,27-11,221,187
27,27-12,221,187
27,27-13,221,187
27,27-14,221,187
27,27-15,221.5,187.5
27,27-16,222,188
27,27-17,222,188
27,27-18,222,188
27,27-19,222,188
27,27-20,223,189
27,27-21,223,189
27,27-22,223,189
27,27-23,223,189
27,27-24,223.3,189.3
27,27-25,224,190
27,27-26,224,190
27,27-27,224,190
27,27-28,224,190
27,27-29,224.9,190.9
27,27-30,225,191
28,28-1,225,191
28,28-2,225,191
28,28-3,226,192
28,28-4,226,192
28,28-5,226,192
28,28-6,226,192
28,28-7,226.1,192.1
28,28-8,228,193
28,28-9,228,193
28,28-10,228,193
28,28-11,228,193
28,28-12,228.7,193.7
28,28-13,229,194
28,28-14,229,194
28,28-15,229,194
28,28-16,229.8,194.8
28,28-17,230,195
28,28-18,230,195
28,28-19,230,195
28,28-20,230,195
28,28-21,232,196
28,28-22,232,196
28,28-23,232,196
28,28-24,232,196
28,28-25,232.5,196.5
28,28-26,233,197
28,28-27,233,197
28,28-28,233,197
28,28-29,233.6,197.6
28,28-30,234,198
29,29-1,234,198
29,29-2,234,198
29,29-3,234,198
29,29-4,235,199
29,29-5,235,199
29,29-6,235,199
29,29-7,235,199
29,29-8,235.3,199.3
29,29-9,236,200
29,29-10,236,200
29,29-11,236,200
29,29-12,236.3,200.3
29,29-13,237,201
29,29-14,237,201
29,29-15,237,201
29,29-16,237,201
29,29-17,237.9,201.9
29,29-18,238,202
29,29-19,238,202
29,29-20,238,202
29,29-21,238,202
29,29-22,239,203
29,29-23,239,203
29,29-24,239,203
29,29-25,239.1,203.1
29,29-26,240,204
29,29-27,240,204
29,29-28,240,204
29,29-29,240,204
29,29-30,241.5,204.7
30,30-1,242,205
30,30-2,242,205
30,30-3,242,205
30,30-4,242,205
30,30-5,243,206
30,30-6,243,206
30,30-7,243,206
30,30-8,243,206
30,30-9,244,207
30,30-10,244,207
30,30-11,244,207
30,30-12,244,207
30,30-13,245,207.5
30,30-14,246,208
30,30-15,246,208
30,30-16,246,208
30,30-17,246,208
30,30-18,247,209
30,30-19,247,209
30,30-20,247,209
30,30-21,247,209
30,30-22,248,210
30,30-23,248,210
30,30-24,248,210
30,30-25,248,210
30,30-26,248.3,210.3
30,30-27,249,211
30,30-28,249,211
30,30-29,249,211
30,30-30,249,211
31,31-1,249.9,211.9
31,31-2,250,212
31,31-3,250,212
31,31-4,250,212
31,31-5,251,213
31,31-6,251,213
31,31-7,251,213
31,31-8,251,213
31,31-9,251.1,213.1
31,31-10,252,214
31,31-11,252,214
31,31-12,252,214
31,31-13,252,214
31,31-14,253.4,214.7
31,31-15,254,215
31,31-16,254,215
31,31-17,254,215
31,31-18,254.8,215.8
31,31-19,255,216
31,31-20,255,216
31,31-21,255,216
31,31-22,255,216
31,31-23,256,217
31,31-24,256,217
31,31-25,256,217
31,31-26,256,217
31,31-27,256.5,217.5
31,31-28,257,218
31,31-29,257,218
31,31-30,257,218
32,32-1,257.6,218.6
32,32-2,258,219
32,32-3,258,219
32,32-4,258,219
32,32-5,258,219
32,32-6,259,220
32,32-7,259,220
32,32-8,259,220
32,32-9,259,220
32,32-10,259.3,220.3
32,32-11,260,221
32,32-12,260,221
32,32-13,260,221
32,32-14,261.1,221.4
32,32-15,263,222
32,32-16,263,222
32,32-17,263,222
32,32-18,263,222
32,32-19,264,223
32,32-20,264,223
32,32-21,264,223
32,32-22,264,223
32,32-23,264.1,223.1
32,32-24,265,224
32,32-25,265,224
32,32-26,265,224
32,32-27,265.1,224.1
32,32-28,266,225
32,32-29,266,225
32,32-30,266,225
33,33-1,266,225
33,33-2,266.8,225.8
33,33-3,267,226
33,33-4,267,226
33,33-5,267,226
33,33-6,267,226
33,33-7,268,227
33,33-8,268,227
33,33-9,268,227
33,33-10,268,227
33,33-11,269,228
33,33-12,269,228
33,33-13,269,228
33,33-14,269,228
33,33-15,269.5,228.5
33,33-16,270,229
33,33-17,270,229
33,33-18,270,229
33,33-19,270,229
33,33-20,271,230
33,33-21,271,230
33,33-22,271,230
33,33-23,271,230
33,33-24,272,231
33,33-25,272,231
33,33-26,272,231
33,33-27,272,231
33,33-28,272.3,231.3
33,33-29,273,232
33,33-30,273,232
34,34-1,273,232
34,34-2,273,232
34,34-3,273.9,232.9
34,34-4,274,233
34,34-5,274,233
34,34-6,274,233
34,34-7,276,234
34,34-8,276,234
34,34-9,276,234
34,34-10,276,234
34,34-11,276.1,234.1
34,34-12,277,235
34,34-13,277,235
34,34-14,277,235
34,34-15,277,235
34,34-16,278.5,235.7
34,34-17,279,236
34,34-18,279,236
34,34-19,279,236
34,34-20,279.8,236.8
34,34-21,280,237
34,34-22,280,237
34,34-23,280,237
34,34-24,280,237
34,34-25,281,238
34,34-26,281,238
34,34-27,281,238
34,34-28,281,238
34,34-29,281.5,238.5
34,34-30,282,239
35,35-1,282,239
35,35-2,282,239
35,35-3,283.2,239.6
35,35-4,284,240
35,35-5,284,240
35,35-6,284,240
35,35-7,284,240
35,35-8,285,241
35,35-9,285,241
35,35-10,285,241
35,35-11,285,241
35,35-12,285.3,241.3
35,35-13,286,242
35,35-14,286,242
35,35-15,286,242
35,35-16,286.4,242.4
35,35-17,287,243
35,35-18,287,243
35,35-19,287,243
35,35-20,287,243
35,35-21,288,244
35,35-22,288,244
35,35-23,288,244
35,35-24,288,244
35,35-25,288.1,244.1
35,35-26,289,245
35,35-27,289,245
35,35-28,289,245
35,35-29,289.2,245.2
35,35-30,290,246
36,36-1,290,246
36,36-2,290,246
36,36-3,290,246
36,36-4,290.8,246.8
36,36-5,291,247
36,36-6,291,247
36,36-7,291,247
36,36-8,291,247
36,36-9,292,248
36,36-10,292,248
36,36-11,292,248
36,36-12,292,248
36,36-13,293,249
36,36-14,293,249
36,36-15,293,249
36,36-16,293,249
36,36-17,294.1,249.6
36,36-18,295,250
36,36-19,295,250
36,36-20,295,250
36,36-21,295,250
36,36-22,296,251
36,36-23,296,251
36,36-24,296,251
36,36-25,296,251
36,36-26,298,252
36,36-27,298,252
36,36-28,298,252
36,36-29,298,252
36,36-30,298.4,252.4
37,37-1,299,253
37,37-2,299,253
37,37-3,299,253
37,37-4,299,253
37,37-5,300,254
37,37-6,300,254
37,37-7,300,254
37,37-8,300,254
37,37-9,301,255
37,37-10,301,255
37,37-11,301,255
37,37-12,301,255
37,37-13,301.1,255.1
37,37-14,302,256
37,37-15,302,256
37,37-16,302,256
37,37-17,302,256
37,37-18,302.8,256.8
37,37-19,303,257
37,37-20,303,257
37,37-21,303,257
37,37-22,304.7,257.8
37,37-23,305,258
37,37-24,305,258
37,37-25,305,258
37,37-26,305,258
37,37-27,306,259
37,37-28,306,259
37,37-29,306,259
37,37-30,306,259
38,38-1,306.5,259.5
38,38-2,307,260
38,38-3,307,260
38,38-4,307,260
38,38-5,307.6,260.6
38,38-6,308,261
38,38-7,308,261
38,38-8,308,261
38,38-9,308,261
38,38-10,309,262
38,38-11,309,262
38,38-12,309,262
38,38-13,309,262
38,38-14,309.3,262.3
38,38-15,310,263
38,38-16,310,263
38,38-17,310,263
38,38-18,310.4,263.4
38,38-19,311,264
38,38-20,311,264
38,38-21,311,264
38,38-22,311,264
38,38-23,313,265
38,38-24,313,265
38,38-25,313,265
38,38-26,313,265
38,38-27,313.1,265.1
38,38-28,314,266
38,38-29,314,266
38,38-30,314,266
39,39-1,314.2,266.2
39,39-2,315,267
39,39-3,315,267
39,39-4,315,267
39,39-5,315,267
39,39-6,315.8,267.8
39,39-7,316,268
39,39-8,316,268
39,39-9,316,268
39,39-10,316,268
39,39-11,317,269
39,39-12,317,269
39,39-13,317,269
39,39-14,317,269
39,39-15,318,270
39,39-16,318,270
39,39-17,318,270
39,39-18,318,270
39,39-19,319.2,270.6
39,39-20,320,271
39,39-21,320,271
39,39-22,320,271
39,39-23,320,271
39,39-24,321,272
39,39-25,321,272
39,39-26,321,272
39,39-27,321,272
39,39-28,322,273
39,39-29,322,273
39,39-30,322,273
40,40-1,322,273
40,40-2,322.4,273.4
40,40-3,323,274
40,40-4,323,274
40,40-5,323,274
40,40-6,323,274
40,40-7,324,275
40,40-8,324,275
40,40-9,324,275
40,40-10,324,275
40,40-11,326,276
40,40-12,326,276
40,40-13,326,276
40,40-14,326,276
40,40-15,326.2,276.2
40,40-16,327,277
40,40-17,327,277
40,40-18,327,277
40,40-19,327,277
40,40-20,327.8,277.8
40,40-21,328,278
40,40-22,328,278
40,40-23,328,278
40,40-24,329.7,278.9
40,40-25,330,279
40,40-26,330,279
40,40-27,330,279
40,40-28,330,279
40,40-29,331,280
40,40-30,331,280
41,41-1,331,280
41,41-2,331,280
41,41-3,331,280
41,41-4,331,280
41,41-5,332,281
41,41-6,332,281
41,41-7,332,281
41,41-8,332,281
41,41-9,332,281
41,41-10,332,281
41,41-11,333,282
41,41-12,333,282
41,41-13,333,282
41,41-14,333,282
41,41-15,333,282
41,41-16,333,282
41,41-17,333,282
41,41-18,334,283
41,41-19,334,283
41,41-20,334,283
41,41-21,334,283
41,41-22,334,283
41,41-23,334,283
41,41-24,334,283
41,41-25,335,284
41,41-26,335,284
41,41-27,335,284
41,41-28,335,284
41,41-29,335,284
41,41-30,335,284
42,42-1,336,285
42,42-2,336,285
42,42-3,336,285
42,42-4,336,285
42,42-5,336,285
42,42-6,336,285
42,42-7,336,285
42,42-8,337,286
42,42-9,337,286
42,42-10,337,286
42,42-11,337,286
42,42-12,337,286
42,42-13,337,286
42,42-14,337,286
42,42-15,338,287
42,42-16,338,287
42,42-17,338,287
42,42-18,338,287
42,42-19,338,287
42,42-20,338,287
42,42-21,339,288
42,42-22,339,288
42,42-23,339,288
42,42-24,339,288
42,42-25,339,288
42,42-26,339,288
42,42-27,339,288
42,42-28,340,289
42,42-29,340,289
42,42-30,340,289
43,43-1,340,289
43,43-2,340,289
43,43-3,340,289
43,43-4,340,289
43,43-5,342,290
43,43-6,342,290
43,43-7,342,290
43,43-8,342,290
43,43-9,342,290
43,43-10,342,290
43,43-11,343,291
43,43-12,343,291
43,43-13,343,291
43,43-14,343,291
43,43-15,343,291
43,43-16,343,291
43,43-17,343,291
43,43-18,344,292
43,43-19,344,292
43,43-20,344,292
43,43-21,344,292
43,43-22,344,292
43,43-23,344,292
43,43-24,344,292
43,43-25,347,293
43,43-26,347,293
43,43-27,347,293
43,43-28,347,293
43,43-29,347,293
43,43-30,347,293
44,44-1,348,294
44,44-2,348,294
44,44-3,348,294
44,44-4,348,294
44,44-5,348,294
44,44-6,348,294
44,44-7,348,294
44,44-8,349,295
44,44-9,349,295
44,44-10,349,295
44,44-11,349,295
44,44-12,349,295
44,44-13,349,295
44,44-14,349,295
44,44-15,350,296
44,44-16,350,296
44,44-17,350,296
44,44-18,350,296
44,44-19,350,296
44,44-20,350,296
44,44-21,351,297
44,44-22,351,297
