챕터,스테이지,55% 적정투력,75% 적정투력,100% 적정투력,120% 적정투력
2,2-10,6K 901,9K 201,11K 501,13K 802
2,2-11,6K 972,9K 296,11K 620,13K 944
2,2-12,7K 47,9K 396,11K 745,14K 94
2,2-13,7K 122,9K 496,11K 870,14K 244
2,2-14,7K 197,9K 596,11K 994,14K 393
2,2-15,7K 272,9K 696,12K 119,14K 543
2,2-16,7K 346,9K 795,12K 243,14K 692
2,2-17,7K 421,9K 894,12K 367,14K 841
2,2-18,7K 496,9K 994,12K 492,14K 991
2,2-19,7K 571,10K 94,12K 617,15K 141
2,2-20,7K 645,10K 193,12K 741,15K 290
2,2-21,7K 719,10K 292,12K 865,15K 438
2,2-22,7K 795,10K 393,12K 991,15K 590
2,2-23,7K 869,10K 492,13K 115,15K 738
2,2-24,7K 943,10K 591,13K 238,15K 886
2,2-25,8K 18,10K 691,13K 363,16K 36
2,2-26,8K 93,10K 791,13K 488,16K 186
2,2-27,8K 168,10K 891,13K 613,16K 336
2,2-28,8K 243,10K 990,13K 737,16K 485
2,2-29,8K 318,11K 90,13K 862,16K 635
2,2-30,8K 393,11K 190,13K 987,16K 785
3,3-1,8K 467,11K 289,14K 111,16K 934
3,3-2,8K 542,11K 389,14K 236,17K 84
3,3-3,8K 610,11K 480,14K 349,17K 219
3,3-4,8K 660,11K 547,14K 433,17K 320
3,3-5,8K 693,11K 591,14K 488,17K 386
3,3-6,8K 714,11K 618,14K 522,17K 427
3,3-7,8K 733,11K 644,14K 554,17K 465
3,3-8,8K 753,11K 670,14K 587,17K 505
3,3-9,8K 772,11K 696,14K 620,17K 544
3,3-10,8K 792,11K 722,14K 652,17K 583
3,3-11,8K 811,11K 748,14K 685,17K 622
3,3-12,8K 831,11K 775,14K 718,17K 662
3,3-13,8K 851,11K 801,14K 751,17K 702
3,3-14,8K 870,11K 827,14K 783,17K 740
3,3-15,9K 65,12K 87,15K 108,18K 130
3,3-16,9K 621,12K 828,16K 35,19K 242
3,3-17,11K 148,14K 864,18K 580,22K 296
3,3-18,12K 548,16K 730,20K 912,25K 95
3,3-19,13K 429,17K 905,22K 381,26K 858
3,3-20,13K 680,18K 240,22K 799,27K 359
3,3-21,13K 695,18K 260,22K 825,27K 390
3,3-22,13K 712,18K 282,22K 852,27K 423
3,3-23,13K 728,18K 304,22K 880,27K 456
3,3-24,13K 746,18K 328,22K 909,27K 491
3,3-25,13K 762,18K 349,22K 936,27K 524
3,3-26,13K 778,18K 370,22K 962,27K 555
3,3-27,13K 794,18K 392,22K 989,27K 587
3,3-28,13K 811,18K 414,23K 17,27K 621
3,3-29,13K 827,18K 436,23K 44,27K 653
3,3-30,13K 843,18K 457,23K 71,27K 686
4,4-1,13K 860,18K 480,23K 99,27K 719
4,4-2,13K 877,18K 502,23K 127,27K 753
4,4-3,13K 893,18K 524,23K 154,27K 785
4,4-4,13K 909,18K 545,23K 181,27K 818
4,4-5,13K 926,18K 568,23K 209,27K 851
4,4-6,13K 942,18K 589,23K 236,27K 884
4,4-7,13K 958,18K 611,23K 263,27K 916
4,4-8,13K 974,18K 632,23K 290,27K 948
4,4-9,13K 991,18K 655,23K 318,27K 982
4,4-10,14K 7,18K 676,23K 345,28K 14
4,4-11,14K 24,18K 699,23K 373,28K 48
4,4-12,14K 41,18K 721,23K 401,28K 82
4,4-13,14K 57,18K 743,23K 428,28K 114
4,4-14,14K 73,18K 764,23K 455,28K 146
4,4-15,14K 90,18K 786,23K 482,28K 179
4,4-16,14K 106,18K 808,23K 510,28K 212
4,4-17,14K 122,18K 829,23K 536,28K 244
4,4-18,14K 138,18K 851,23K 563,28K 276
4,4-19,14K 155,18K 873,23K 591,28K 310
4,4-20,14K 171,18K 895,23K 618,28K 342
4,4-21,14K 188,18K 917,23K 646,28K 376
4,4-22,14K 204,18K 939,23K 673,28K 408
4,4-23,14K 228,18K 970,23K 712,28K 455
4,4-24,14K 290,19K 53,23K 816,28K 580
4,4-25,14K 617,19K 489,24K 361,29K 234
4,4-26,15K 126,20K 168,25K 210,30K 252
4,4-27,15K 767,21K 22,26K 277,31K 533
4,4-28,15K 969,21K 292,26K 615,31K 938
4,4-29,16K 43,21K 391,26K 738,32K 86
4,4-30,16K 55,21K 407,26K 758,32K 110
5,5-1,16K 76,21K 434,26K 792,32K 151
5,5-2,16K 95,21K 460,26K 825,32K 190
5,5-3,16K 115,21K 487,26K 858,32K 230
5,5-4,16K 135,21K 513,26K 891,32K 270
5,5-5,16K 155,21K 540,26K 924,32K 309
5,5-6,16K 175,21K 567,26K 958,32K 350
5,5-7,16K 202,21K 603,27K 3,32K 404
5,5-8,16K 514,22K 18,27K 522,33K 27
5,5-9,18K 365,24K 486,30K 607,36K 729
5,5-10,20K 193,26K 924,33K 654,40K 385
5,5-11,20K 541,27K 388,34K 234,41K 81
5,5-12,20K 778,27K 704,34K 630,41K 556
5,5-13,21K 18,28K 24,35K 29,42K 35
5,5-14,21K 261,28K 348,35K 435,42K 522
5,5-15,21K 507,28K 676,35K 845,43K 14
5,5-16,21K 756,29K 8,36K 259,43K 511
5,5-17,22K 7,29K 342,36K 677,44K 13
5,5-18,22K 262,29K 682,37K 102,44K 523
5,5-19,22K 518,30K 24,37K 530,45K 36
5,5-20,22K 779,30K 372,37K 964,45K 557
5,5-21,23K 42,30K 723,38K 403,46K 84
5,5-22,23K 311,31K 81,38K 851,46K 622
5,5-23,23K 619,31K 492,39K 365,47K 238
5,5-24,24K 1,32K 1,40K 1,48K 2
5,5-25,24K 410,32K 546,40K 682,48K 819
5,5-26,24K 827,33K 102,41K 377,49K 653
5,5-27,25K 250,33K 667,42K 83,50K 500
5,5-28,25K 682,34K 242,42K 802,51K 363
5,5-29,26K 121,34K 828,43K 534,52K 241
5,5-30,26K 567,35K 422,44K 277,53K 133
6,6-1,27K 20,36K 26,45K 32,54K 39
6,6-2,27K 481,36K 641,45K 801,54K 962
6,6-3,27K 951,37K 268,46K 584,55K 901
6,6-4,28K 428,37K 904,47K 380,56K 856
6,6-5,28K 914,38K 552,48K 189,57K 827
6,6-6,29K 408,39K 210,49K 12,58K 815
6,6-7,29K 910,39K 880,49K 849,59K 819
6,6-8,30K 420,40K 560,50K 699,60K 839
6,6-9,30K 941,41K 254,51K 567,61K 881
6,6-10,31K 469,41K 959,52K 448,62K 938
6,6-11,31K 995,42K 660,53K 324,63K 989
6,6-12,32K 391,43K 188,53K 984,64K 781
6,6-13,32K 694,43K 592,54K 489,65K 387
6,6-14,32K 999,43K 999,54K 998,65K 998
6,6-15,33K 307,44K 409,55K 511,66K 614
6,6-16,33K 618,44K 824,56K 30,67K 236
6,6-17,33K 932,45K 242,56K 552,67K 863
6,6-18,34K 248,45K 664,57K 80,68K 496
6,6-19,34K 569,46K 92,57K 614,69K 137
6,6-20,34K 892,46K 522,58K 152,69K 783
6,6-21,35K 217,46K 956,58K 695,70K 434
6,6-22,35K 546,47K 395,59K 243,71K 92
6,6-23,35K 878,47K 837,59K 796,71K 756
6,6-24,36K 214,48K 285,60K 356,72K 428
6,6-25,36K 552,48K 736,60K 919,73K 103
6,6-26,36K 893,49K 191,61K 488,73K 786
6,6-27,37K 238,49K 651,62K 63,74K 476
6,6-28,37K 585,50K 113,62K 641,75K 170
6,6-29,37K 937,50K 582,63K 227,75K 873
6,6-30,38K 291,51K 54,63K 817,76K 581
7,7-1,38K 648,51K 531,64K 413,77K 296
7,7-2,39K 9,52K 12,65K 15,78K 18
7,7-3,39K 373,52K 497,65K 621,78K 746
7,7-4,39K 741,52K 988,66K 235,79K 482
7,7-5,40K 112,53K 483,66K 853,80K 224
7,7-6,40K 488,53K 984,67K 479,80K 975
7,7-7,40K 866,54K 488,68K 109,81K 731
7,7-8,41K 247,54K 996,68K 744,82K 493
7,7-9,41K 633,55K 510,69K 387,83K 265
7,7-10,42K 20,56K 27,70K 33,84K 40
7,7-11,42K 413,56K 551,70K 688,84K 826
7,7-12,42K 810,57K 80,71K 349,85K 619
7,7-13,43K 209,57K 612,72K 14,86K 417
7,7-14,43K 613,58K 151,72K 688,87K 226
7,7-15,44K 21,58K 694,73K 367,88K 41
7,7-16,44K 431,59K 241,74K 51,88K 862
7,7-17,44K 846,59K 795,74K 743,89K 692
7,7-18,45K 265,60K 353,75K 441,90K 530
7,7-19,45K 687,60K 916,76K 145,91K 374
7,7-20,46K 115,61K 486,76K 857,92K 229
7,7-21,46K 545,62K 60,77K 574,93K 89
7,7-22,46K 980,62K 640,78K 299,93K 959
7,7-23,47K 418,63K 224,79K 30,94K 836
7,7-24,47K 861,63K 815,79K 768,95K 722
7,7-25,48K 308,64K 411,80K 513,96K 616
7,7-26,48K 759,65K 12,81K 264,97K 517
7,7-27,49K 215,65K 620,82K 24,98K 429
7,7-28,49K 675,66K 233,82K 791,99K 350
7,7-29,50K 138,66K 850,83K 562,100K 275
7,7-30,50K 607,67K 476,84K 344,101K 213
8,8-1,51K 80,68K 106,85K 132,102K 159
8,8-2,51K 557,68K 743,85K 928,103K 114
8,8-3,52K 38,69K 384,86K 730,104K 76
8,8-4,52K 524,70K 32,87K 539,105K 47
8,8-5,53K 15,70K 686,88K 357,106K 29
8,8-6,53K 510,71K 346,89K 182,107K 19
8,8-7,54K 9,72K 12,90K 14,108K 17
8,8-8,54K 514,72K 685,90K 856,109K 28
8,8-9,55K 22,73K 363,91K 703,110K 44
8,8-10,55K 537,74K 49,92K 561,111K 74
8,8-11,56K 55,74K 740,93K 424,112K 109
8,8-12,56K 579,75K 438,94K 297,113K 157
8,8-13,57K 108,76K 144,95K 179,114K 215
8,8-14,57K 776,77K 35,96K 293,115K 552
8,8-15,58K 679,78K 238,97K 797,117K 357
8,8-16,59K 595,79K 460,99K 325,119K 190
8,8-17,60K 244,80K 325,100K 406,120K 488
8,8-18,60K 673,80K 897,101K 121,121K 346
8,8-19,61K 92,81K 456,101K 819,122K 183
8,8-20,61K 513,82K 17,102K 521,123K 26
8,8-21,61K 938,82K 584,103K 229,123K 875
8,8-22,62K 366,83K 155,103K 943,124K 732
8,8-23,62K 796,83K 728,104K 660,125K 592
8,8-24,63K 230,84K 306,105K 382,126K 459
8,8-25,63K 666,84K 888,106K 110,127K 332
8,8-26,64K 106,85K 475,106K 843,128K 212
8,8-27,64K 548,86K 64,107K 580,129K 96
8,8-28,64K 994,86K 659,108K 323,129K 988
8,8-29,65K 443,87K 257,109K 71,130K 886
8,8-30,65K 894,87K 859,109K 823,131K 788
9,9-1,66K 350,88K 467,110K 583,132K 700
9,9-2,66K 809,89K 78,111K 347,133K 617
9,9-3,67K 269,89K 692,112K 115,134K 538
9,9-4,67K 734,90K 312,112K 889,135K 467
9,9-5,68K 201,90K 935,113K 668,136K 402
9,9-6,68K 672,91K 562,114K 452,137K 343
9,9-7,69K 146,92K 195,115K 243,138K 292
9,9-8,69K 624,92K 832,116K 39,139K 247
9,9-9,70K 104,93K 472,116K 840,140K 208
9,9-10,70K 588,94K 117,117K 646,141K 176
9,9-11,71K 76,94K 768,118K 459,142K 151
9,9-12,71K 567,95K 422,119K 277,143K 133
9,9-13,72K 60,96K 80,120K 100,144K 120
9,9-14,72K 558,96K 744,120K 929,145K 115
9,9-15,73K 58,97K 411,121K 763,146K 116
9,9-16,73K 563,98K 84,122K 604,147K 125
9,9-17,74K 71,98K 761,123K 451,148K 142
9,9-18,74K 583,99K 444,124K 304,149K 165
9,9-19,75K 97,100K 129,125K 161,150K 194
9,9-20,75K 615,100K 820,126K 25,151K 230
9,9-21,76K 137,101K 516,126K 895,152K 274
9,9-22,76K 663,102K 217,127K 771,153K 326
9,9-23,77K 192,102K 923,128K 653,154K 384
9,9-24,77K 726,103K 634,129K 542,155K 451
9,9-25,78K 263,104K 350,130K 437,156K 525
9,9-26,78K 802,105K 69,131K 336,157K 604
9,9-27,79K 347,105K 796,132K 244,158K 693
9,9-28,79K 895,106K 526,133K 157,159K 789
9,9-29,80K 447,107K 262,134K 77,160K 893
9,9-30,81K 2,108K 2,135K 2,162K 3
10,10-1,81K 560,108K 747,135K 933,163K 120
10,10-2,82K 124,109K 498,136K 872,164K 247
10,10-3,82K 691,110K 255,137K 818,165K 382
10,10-4,83K 262,111K 16,138K 769,166K 523
10,10-5,83K 837,111K 782,139K 727,167K 673
10,10-6,84K 416,112K 555,140K 693,168K 832
10,10-7,84K 998,113K 331,141K 663,169K 996
10,10-8,85K 586,114K 114,142K 642,171K 171
10,10-9,86K 177,114K 902,143K 627,172K 353
10,10-10,86K 771,115K 695,144K 618,173K 542
10,10-11,87K 370,116K 493,145K 616,174K 740
10,10-12,87K 973,117K 297,146K 621,175K 946
10,10-13,88K 580,118K 107,147K 633,177K 160
10,10-14,89K 192,118K 922,148K 652,178K 383
10,10-15,89K 808,119K 744,149K 679,179K 615
10,10-16,90K 745,120K 993,151K 241,181K 490
10,10-17,92K 969,123K 959,154K 948,185K 938
10,10-18,95K 317,127K 89,158K 861,190K 634
10,10-19,97K 695,130K 260,162K 825,195K 390
10,10-20,100K 104,133K 472,166K 840,200K 208
10,10-21,102K 549,136K 732,170K 915,205K 98
10,10-22,105K 33,140K 44,175K 55,210K 66
10,10-23,107K 549,143K 398,179K 247,215K 97
10,10-24,110K 96,146K 795,183K 493,220K 192
10,10-25,112K 677,150K 236,187K 794,225K 353
10,10-26,115K 293,153K 724,192K 155,230K 586
10,10-27,117K 948,157K 264,196K 579,235K 895
10,10-28,120K 641,160K 854,201K 67,241K 281
10,10-29,123K 368,164K 490,205K 612,246K 735
10,10-30,126K 129,168K 172,210K 215,252K 258
11,11-1,126K 225,168K 300,210K 374,252K 449
11,11-2,126K 321,168K 428,210K 534,252K 641
11,11-3,126K 416,168K 555,210K 693,252K 832
11,11-4,126K 512,168K 683,210K 853,253K 24
11,11-5,126K 608,168K 810,211K 12,253K 215
11,11-6,126K 703,168K 937,211K 171,253K 406
11,11-7,126K 799,169K 65,211K 331,253K 598
11,11-8,126K 894,169K 192,211K 490,253K 788
11,11-9,126K 990,169K 320,211K 650,253K 980
11,11-10,127K 86,169K 448,211K 809,254K 171
11,11-11,127K 182,169K 576,211K 969,254K 363
11,11-12,127K 277,169K 703,212K 128,254K 554
11,11-13,127K 373,169K 830,212K 287,254K 745
11,11-14,127K 469,169K 958,212K 447,254K 937
11,11-15,127K 565,170K 86,212K 607,255K 129
11,11-16,127K 661,170K 214,212K 767,255K 321
11,11-17,127K 757,170K 342,212K 927,255K 513
11,11-18,127K 853,170K 471,213K 88,255K 706
11,11-19,127K 949,170K 599,213K 248,255K 898
11,11-20,128K 45,170K 727,213K 408,256K 90
11,11-21,128K 141,170K 855,213K 568,256K 282
11,11-22,128K 238,170K 984,213K 729,256K 475
11,11-23,128K 334,171K 112,213K 889,256K 667
11,11-24,128K 430,171K 240,214K 49,256K 859
11,11-25,128K 526,171K 368,214K 210,257K 52
11,11-26,128K 622,171K 496,214K 370,257K 244
11,11-27,128K 718,171K 624,214K 530,257K 436
11,11-28,128K 815,171K 753,214K 691,257K 630
11,11-29,128K 911,171K 881,214K 851,257K 822
11,11-30,129K 8,172K 10,215K 12,258K 15
12,12-1,129K 104,172K 139,215K 173,258K 208
12,12-2,129K 201,172K 268,215K 334,258K 401
12,12-3,129K 298,172K 397,215K 496,258K 596
12,12-4,129K 395,172K 526,215K 657,258K 789
12,12-5,129K 491,172K 655,215K 818,258K 982
12,12-6,129K 588,172K 784,215K 980,259K 176
12,12-7,129K 685,172K 913,216K 141,259K 370
12,12-8,129K 782,173K 42,216K 302,259K 563
12,12-9,129K 878,173K 171,216K 463,259K 756
12,12-10,129K 975,173K 300,216K 625,259K 950
12,12-11,130K 72,173K 429,216K 786,260K 144
12,12-12,130K 169,173K 558,216K 947,260K 337
12,12-13,130K 265,173K 687,217K 108,260K 530
12,12-14,130K 362,173K 816,217K 270,260K 724
12,12-15,130K 460,173K 947,217K 433,260K 920
12,12-16,130K 557,174K 76,217K 595,261K 114
12,12-17,130K 655,174K 207,217K 758,261K 310
12,12-18,130K 753,174K 337,217K 921,261K 506
12,12-19,130K 850,174K 467,218K 83,261K 700
12,12-20,130K 948,174K 597,218K 246,261K 896
12,12-21,131K 46,174K 728,218K 409,262K 91
12,12-22,131K 144,174K 858,218K 572,262K 287
12,12-23,131K 241,174K 988,218K 734,262K 481
12,12-24,131K 339,175K 118,218K 897,262K 677
12,12-25,131K 436,175K 248,219K 60,262K 872
12,12-26,131K 534,175K 378,219K 222,263K 67
12,12-27,131K 631,175K 508,219K 385,263K 262
12,12-28,131K 729,175K 639,219K 548,263K 458
12,12-29,131K 827,175K 769,219K 711,263K 654
12,12-30,131K 925,175K 900,219K 875,263K 850
13,13-1,132K 23,176K 31,220K 38,264K 46
13,13-2,132K 122,176K 162,220K 202,264K 243
13,13-3,132K 219,176K 292,220K 365,264K 438
13,13-4,132K 318,176K 424,220K 529,264K 635
13,13-5,132K 416,176K 555,220K 693,264K 832
13,13-6,132K 514,176K 685,220K 856,265K 28
13,13-7,132K 612,176K 816,221K 20,265K 224
13,13-8,132K 710,176K 947,221K 183,265K 420
13,13-9,132K 809,177K 78,221K 347,265K 617
13,13-10,132K 906,177K 208,221K 510,265K 812
13,13-11,133K 5,177K 340,221K 674,266K 9
13,13-12,133K 103,177K 471,221K 838,266K 206
13,13-13,133K 201,177K 601,222K 1,266K 402
13,13-14,133K 300,177K 733,222K 166,266K 600
13,13-15,133K 398,177K 864,222K 330,266K 796
13,13-16,133K 497,177K 996,222K 495,266K 994
13,13-17,133K 596,178K 128,222K 660,267K 192
13,13-18,133K 695,178K 260,222K 824,267K 389
13,13-19,133K 794,178K 392,222K 989,267K 587
13,13-20,133K 893,178K 524,223K 154,267K 785
13,13-21,133K 991,178K 655,223K 318,267K 982
13,13-22,134K 90,178K 787,223K 483,268K 180
13,13-23,134K 189,178K 918,223K 647,268K 377
13,13-24,134K 288,179K 50,223K 812,268K 575
13,13-25,134K 387,179K 182,223K 977,268K 773
13,13-26,134K 485,179K 313,224K 141,268K 970
13,13-27,134K 584,179K 445,224K 306,269K 168
13,13-28,134K 683,179K 577,224K 471,269K 366
13,13-29,134K 783,179K 710,224K 637,269K 565
13,13-30,134K 882,179K 843,224K 803,269K 764
14,14-1,134K 982,179K 976,224K 969,269K 963
14,14-2,135K 81,180K 108,225K 135,270K 162
14,14-3,135K 181,180K 241,225K 301,270K 362
14,14-4,135K 281,180K 374,225K 467,270K 561
14,14-5,135K 380,180K 507,225K 633,270K 760
14,14-6,135K 480,180K 640,225K 800,270K 960
14,14-7,135K 580,180K 773,225K 966,271K 160
14,14-8,135K 680,180K 906,226K 132,271K 359
14,14-9,135K 779,181K 39,226K 298,271K 558
14,14-10,135K 879,181K 172,226K 464,271K 757
14,14-11,135K 978,181K 304,226K 630,271K 956
14,14-12,136K 78,181K 437,226K 796,272K 156
14,14-13,136K 178,181K 571,226K 963,272K 356
14,14-14,136K 278,181K 704,227K 130,272K 556
14,14-15,136K 379,181K 838,227K 297,272K 757
14,14-16,136K 478,181K 971,227K 463,272K 956
14,14-17,136K 578,182K 104,227K 630,273K 156
14,14-18,136K 679,182K 238,227K 797,273K 357
14,14-19,136K 779,182K 372,227K 964,273K 557
14,14-20,136K 879,182K 505,228K 131,273K 758
14,14-21,136K 979,182K 639,228K 298,273K 958
14,14-22,137K 79,182K 772,228K 465,274K 158
14,14-23,137K 180,182K 906,228K 632,274K 359
14,14-24,137K 280,183K 40,228K 799,274K 559
14,14-25,137K 380,183K 173,228K 966,274K 760
14,14-26,137K 480,183K 307,229K 133,274K 960
14,14-27,137K 580,183K 440,229K 300,275K 160
14,14-28,137K 681,183K 575,229K 468,275K 362
14,14-29,137K 782,183K 709,229K 636,275K 564
14,14-30,137K 882,183K 843,229K 803,275K 764
15,15-1,137K 983,183K 977,229K 971,275K 966
15,15-2,138K 84,184K 112,230K 139,276K 167
15,15-3,138K 185,184K 246,230K 307,276K 369
15,15-4,138K 285,184K 380,230K 474,276K 569
15,15-5,138K 386,184K 514,230K 642,276K 771
15,15-6,138K 486,184K 648,230K 810,276K 972
15,15-7,138K 587,184K 783,230K 978,277K 174
15,15-8,138K 688,184K 917,231K 146,277K 376
15,15-9,138K 788,185K 51,231K 313,277K 576
15,15-10,138K 889,185K 185,231K 481,277K 778
15,15-11,138K 990,185K 320,231K 649,277K 979
15,15-12,139K 91,185K 454,231K 817,278K 181
15,15-13,139K 193,185K 590,231K 987,278K 385
15,15-14,139K 294,185K 725,232K 156,278K 588
15,15-15,139K 395,185K 860,232K 325,278K 790
15,15-16,139K 497,185K 996,232K 494,278K 993
15,15-17,139K 598,186K 131,232K 663,279K 196
15,15-18,139K 700,186K 266,232K 832,279K 399
15,15-19,139K 801,186K 401,233K 1,279K 602
15,15-20,139K 902,186K 536,233K 170,279K 804
15,15-21,140K 4,186K 672,233K 340,280K 8
15,15-22,140K 106,186K 808,233K 509,280K 211
15,15-23,140K 207,186K 943,233K 678,280K 414
15,15-24,140K 309,187K 78,233K 847,280K 617
15,15-25,140K 410,187K 213,234K 16,280K 820
15,15-26,140K 511,187K 348,234K 185,281K 22
15,15-27,140K 614,187K 485,234K 356,281K 228
15,15-28,140K 716,187K 621,234K 526,281K 432
15,15-29,140K 818,187K 757,234K 696,281K 636
15,15-30,140K 920,187K 893,234K 866,281K 840
16,16-1,141K 23,188K 30,235K 37,282K 45
16,16-2,141K 125,188K 166,235K 207,282K 249
16,16-3,141K 227,188K 302,235K 377,282K 453
16,16-4,141K 329,188K 439,235K 548,282K 658
16,16-5,141K 431,188K 575,235K 718,282K 862
16,16-6,141K 533,188K 711,235K 888,283K 66
16,16-7,141K 636,188K 848,236K 59,283K 271
16,16-8,141K 738,188K 984,236K 229,283K 475
16,16-9,141K 840,189K 120,236K 399,283K 679
16,16-10,141K 942,189K 256,236K 570,283K 884
16,16-11,142K 44,189K 392,236K 740,284K 88
16,16-12,142K 147,189K 529,236K 911,284K 294
16,16-13,142K 250,189K 667,237K 83,284K 500
16,16-14,142K 353,189K 804,237K 254,284K 705
16,16-15,142K 455,189K 940,237K 425,284K 910
16,16-16,142K 558,190K 77,237K 596,285K 116
16,16-17,142K 661,190K 214,237K 767,285K 321
16,16-18,142K 764,190K 352,237K 939,285K 527
16,16-19,142K 866,190K 488,238K 110,285K 732
16,16-20,142K 969,190K 625,238K 281,285K 938
16,16-21,143K 72,190K 762,238K 452,286K 143
16,16-22,143K 174,190K 899,238K 623,286K 348
16,16-23,143K 277,191K 36,238K 794,286K 553
16,16-24,143K 380,191K 173,238K 966,286K 760
16,16-25,143K 483,191K 310,239K 137,286K 965
16,16-26,143K 586,191K 448,239K 309,287K 171
16,16-27,143K 690,191K 586,239K 482,287K 379
16,16-28,143K 793,191K 724,239K 655,287K 586
16,16-29,143K 897,191K 862,239K 827,287K 793
16,16-30,144K,192K,240K,288K
17,17-1,145K 871,194K 495,243K 118,291K 742
17,17-2,147K 755,197K 6,246K 257,295K 509
17,17-3,149K 656,199K 541,249K 426,299K 312
17,17-4,151K 574,202K 98,252K 622,303K 147
17,17-5,153K 504,204K 672,255K 840,307K 8
17,17-6,155K 451,207K 268,259K 85,310K 902
17,17-7,157K 412,209K 882,262K 352,314K 823
17,17-8,159K 390,212K 520,265K 650,318K 780
17,17-9,161K 387,215K 182,268K 977,322K 773
17,17-10,163K 397,217K 862,272K 327,326K 793
17,17-11,165K 425,220K 566,275K 707,330K 849
17,17-12,167K 469,223K 292,279K 114,334K 937
17,17-13,169K 530,226K 40,282K 549,339K 59
17,17-14,171K 608,228K 810,286K 12,343K 215
17,17-15,173K 700,231K 600,289K 499,347K 399
17,17-16,175K 811,234K 415,293K 18,351K 622
17,17-17,177K 939,237K 252,296K 565,355K 878
17,17-18,180K 84,240K 112,300K 140,360K 168
17,17-19,182K 247,242K 996,303K 744,364K 493
17,17-20,184K 424,245K 899,307K 373,368K 848
17,17-21,186K 625,248K 833,311K 41,373K 250
17,17-22,188K 838,251K 784,314K 730,377K 676
17,17-23,191K 70,254K 760,318K 450,382K 140
17,17-24,193K 321,257K 761,322K 201,386K 642
17,17-25,195K 588,260K 784,325K 979,391K 175
17,17-26,197K 878,263K 837,329K 796,395K 756
17,17-27,200K 181,266K 908,333K 634,400K 361
17,17-28,202K 505,270K 6,337K 507,405K 9
17,17-29,204K 847,273K 129,341K 411,409K 694
17,17-30,207K 206,276K 275,345K 343,414K 412
18,18-1,209K 586,279K 448,349K 310,419K 172
18,18-2,211K 982,282K 643,353K 303,423K 964
18,18-3,214K 398,285K 864,357K 329,428K 795
18,18-4,216K 437,288K 583,360K 728,432K 874
18,18-5,217K 599,290K 132,362K 665,435K 198
18,18-6,217K 937,290K 583,363K 228,435K 874
18,18-7,218K 275,291K 33,363K 791,436K 550
18,18-8,218K 615,291K 486,364K 357,437K 229
18,18-9,218K 956,291K 941,364K 926,437K 912
18,18-10,219K 297,292K 396,365K 495,438K 594
18,18-11,219K 639,292K 852,366K 64,439K 277
18,18-12,219K 980,293K 307,366K 633,439K 960
18,18-13,220K 322,293K 763,367K 203,440K 644
18,18-14,220K 664,294K 219,367K 773,441K 328
18,18-15,221K 6,294K 674,368K 342,442K 11
18,18-16,221K 348,295K 130,368K 912,442K 695
18,18-17,221K 689,295K 585,369K 481,443K 378
18,18-18,222K 31,296K 41,370K 51,444K 62
18,18-19,222K 373,296K 497,370K 621,444K 746
18,18-20,222K 716,296K 955,371K 193,445K 432
18,18-21,223K 62,297K 416,371K 770,446K 124
18,18-22,223K 409,297K 878,372K 347,446K 817
18,18-23,223K 755,298K 340,372K 925,447K 510
18,18-24,224K 102,298K 803,373K 503,448K 204
18,18-25,224K 448,299K 264,374K 80,448K 896
